"centre_no","size","supermarket.800","pharmacy.800","post.800","gp.800","mat.child.health.800","dentist.800","childcare.800","kindergarten.800","primary.800","comm.library.800","convenience.400","rest.cafe.400","park.400","bus.400.tram.600.train.800"
515,"small",20.3809523809524,0,6.47619047619048,26.2857142857143,3.42857142857143,3.61904761904762,100,71.4285714285714,95.4285714285714,21.5238095238095,77.9047619047619,77.9047619047619,81.1428571428571,85.1428571428571
516,"small",0,0,0,76.4705882352941,0,0,100,100,100,0,27.4509803921569,12.5490196078431,85.0980392156863,86.6666666666667
517,"large",21.5423302598491,76.7393126571668,80.4694048616932,82.9002514668902,10.9807208717519,86.5465213746857,90.2766135792121,72.2967309304275,41.9111483654652,82.9002514668902,2.8918692372171,30.4694048616932,58.5917854149204,94.8449287510478
518,"medium",96.7061923583663,90.4479578392622,96.3109354413702,88.6034255599473,0,58.2345191040843,100,87.5494071146245,43.3465085638999,0,52.635046113307,54.9407114624506,45.3227931488801,92.8853754940711
519,"large",97.7320675105485,83.3860759493671,79.1139240506329,98.9451476793249,83.1751054852321,95.5168776371308,92.7742616033755,40.9282700421941,29.957805907173,14.2932489451477,25.9493670886076,51.4767932489451,25.3164556962025,84.3881856540084
52,"small",97.2340425531915,68.0851063829787,26.5957446808511,100,67.6595744680851,100,89.7872340425532,30.8510638297872,21.4893617021277,97.2340425531915,30.2127659574468,40.6382978723404,100,98.0851063829787
520,"large",96.3677639046538,95.5732122587968,86.9466515323496,82.8036322360954,15.5505107832009,99.8864926220204,100,35.8683314415437,89.8978433598184,87.2304199772985,12.9398410896708,41.9409761634506,48.5244040862656,98.1838819523269
521,"small",85.1931330472103,91.6309012875536,64.8068669527897,100,24.6781115879828,64.5922746781116,100,0,99.5708154506438,17.1673819742489,77.2532188841202,99.5708154506438,100,86.0515021459227
522,"small",60,69.1428571428571,0,69.1428571428571,0,0,18.8571428571429,15.4285714285714,80.5714285714286,0,21.7142857142857,79.4285714285714,100,97.1428571428571
523,"small",97.3174366616989,89.1207153502235,85.096870342772,100,11.0283159463487,100,100,100,98.5096870342772,0,97.7645305514158,81.2220566318927,95.0819672131148,98.5096870342772
524,"medium",93.1703810208483,61.1790079079799,58.6628324946082,93.8173975557153,85.6937455068296,93.8173975557153,97.411933860532,24.3709561466571,81.5959741193386,24.3709561466571,44.6441409058231,6.54205607476635,79.4392523364486,67.0021567217829
525,"small",28.8032454361055,22.3123732251521,0,100,2.02839756592292,28.8032454361055,67.342799188641,35.4969574036511,53.7525354969574,17.4442190669371,46.2474645030426,12.9817444219067,97.3630831643002,93.1034482758621
526,"small",11.9800332778702,0,11.3144758735441,38.4359400998336,0,0,100,87.5207986688852,98.8352745424293,0,9.48419301164726,10.4825291181364,65.8901830282862,96.0066555740433
