"centre_no","size","rest.cafe.400","bus.400.tram.600.train.800","supermarket.800","convenience.400","butcher.800","bakery.800","pharmacy.800","post.800","park.400","comm.ctr.800","childcare.800","kindergarten.800","primary.800","distsport.800","comm.health.800","mat.child.health.800","gp.400","dentist.800"
1039,"large",57.6923076923077,84.1025641025641,96.9230769230769,58.7179487179487,0,0,88.974358974359,0,94.6153846153846,0,82.3076923076923,0,0,0.256410256410256,0,0,0,0.256410256410256
104,"small",83.59375,97.1354166666667,0,0,0,0,0,0,97.3958333333333,0,72.1354166666667,26.5625,56.5104166666667,5.72916666666667,0,4.6875,0,0
1040,"medium",18.8172043010753,76.8817204301075,44.026284348865,16.4277180406213,0,0,52.3297491039427,0,60.5137395459976,0.657108721624851,63.3213859020311,53.9426523297491,0.657108721624851,46.6547192353644,0,27.0011947431302,14.15770609319,0.17921146953405
1041,"medium",19.7236180904523,75.7537688442211,98.7437185929648,32.3492462311558,0,0,70.1005025125628,0,61.8090452261307,0,99.4346733668342,72.0477386934673,29.3341708542714,74.6231155778894,0,77.3241206030151,7.28643216080402,0
1042,"large",38.1969157769869,82.2064056939502,99.288256227758,34.282325029656,87.5444839857651,0,79.4780545670225,46.9750889679715,87.5444839857651,0,76.7497034400949,41.2811387900356,52.3131672597865,64.29418742586,0,27.1648873072361,39.7390272835113,93.7129300118624
1043,"large",16.4473684210526,91.2280701754386,87.9385964912281,9.86842105263158,0,0,90.1315789473684,89.6929824561403,34.2105263157895,0,85.0877192982456,35.9649122807018,50.6578947368421,85.9649122807018,0,26.9736842105263,17.7631578947368,92.9824561403509
1044,"medium",47.8216818642351,54.305977710233,97.9736575481256,42.9584599797366,0,54.2046605876393,90.8814589665653,0,98.1762917933131,86.7274569402229,100,48.5309017223911,84.3971631205674,68.8956433637285,0,63.9311043566363,21.7831813576494,87.0314083080041
1045,"large",69.6252097706508,99.5338429983218,99.5338429983218,80.4400522095842,37.0315122133134,47.0632108894276,3.00205109080738,0,100,60.3393622972217,100,12.4370688047734,92.5414879731494,45.4036919634533,69.8676114115234,84.2066007831438,35.8195040089502,61.6446019019206
1046,"medium",51.2649800266312,99.9556147359077,32.5343985796715,62.7163781624501,30.8477585441633,37.9494007989348,34.2210386151798,11.0963160230803,95.4727030625832,4.43852640923214,68.9747003994674,43.7194851309365,53.8393253439858,96.8042609853529,0,15.6679982245894,58.2334664891256,47.1815357301376
1047,"small",61.7021276595745,95.9686450167973,100,93.2810750279955,15.3415453527436,46.1366181410974,0,0,100,0,100,45.9126539753639,78.4994400895857,100,0,94.8488241881299,79.2833146696529,49.6080627099664
1048,"small",75.5824790307549,100,36.9990680335508,62.1621621621622,1.67753960857409,62.1621621621622,0,0,93.8490214352283,0.0931966449207828,100,100,35.0419384902143,100,29.2637465051258,18.9189189189189,28.5181733457595,93.4762348555452
1049,"small",100,100,100,98.0392156862745,30,11.5686274509804,80.9803921568627,64.7058823529412,100,0,100,0,100,100,0,7.45098039215686,10,92.7450980392157
105,"medium",51.2820512820513,97.2161172161172,17.7289377289377,3.07692307692308,10.3296703296703,15.970695970696,0,0,75.5311355311355,3.07692307692308,99.4139194139194,90.9157509157509,89.0842490842491,80.8791208791209,0,0,53.992673992674,10.3296703296703
1050,"large",63.0368098159509,100,97.8220858895706,60.6441717791411,83.8036809815951,83.2515337423313,0,0,96.1963190184049,0.153374233128834,92.8220858895705,81.3496932515337,66.717791411043,70.5521472392638,49.4478527607362,66.9018404907976,38.1901840490798,97.9754601226994
1051,"large",90.5877905877906,100,98.6958986958987,73.0863730863731,72.4626724626725,96.7113967113967,30.0888300888301,0,96.5412965412965,50.0850500850501,100,21.5838215838216,96.7680967680968,36.8739368739369,0,18.030618030618,28.4445284445284,99.6597996597997
1052,"large",73.3639089786558,100,100,88.9663079908273,87.8020814958547,97.2746516140413,22.6847768565885,0.0176397953783736,99.0827306403246,27.7385782324925,99.435526547892,68.2924678073734,86.3291585817605,33.3833127535721,10.672076203916,86.7348738754631,75.5071441171282,100
1053,"small",99.2194275802255,100,98.438855160451,93.0615784908933,11.5351257588899,100,8.32610581092801,0,100,74.5880312228968,100,0,100,12.1422376409367,0,47.4414570685169,90.1994796183868,100
1054,"small",52.8490920475892,100,78.2717595491547,41.8910457107076,90.3569192235441,96.2429555416406,0,0,95.4289292423294,10.0814026299311,100,100,81.8409517845961,2.06637445209768,70.1941139636819,64.4333124608641,44.7714464621165,100
1055,"small",72.3771580345285,99.734395750332,12.0849933598938,0.398406374501992,19.6547144754316,36.6533864541833,19.6547144754316,0.796812749003984,98.67197875166,28.4196547144754,100,9.8273572377158,73.0411686586985,79.0172642762284,0,35.9893758300133,0,34.5285524568393
1056,"large",61.1437403400309,98.7635239567233,98.7944358578053,59.629057187017,81.5455950540958,98.2071097372488,2.04018547140649,0,100,36.0432766615147,100,1.23647604327666,90.7882534775889,86.3987635239567,3.67851622874807,85.5332302936631,54.435857805255,92.4574961360124
1057,"large",91.2272135416667,100,99.9837239583333,84.8470052083333,86.5071614583333,90.0065104166667,20.9309895833333,0,97.216796875,23.0631510416667,99.3815104166667,43.0826822916667,58.3821614583333,39.3229166666667,26.9856770833333,88.1022135416667,60.8723958333333,98.7630208333333
1058,"large",55.4082294444044,100,100,91.3093608128558,68.1343229804713,96.2023492109246,37.2558910427326,0.0288246739208763,99.2505584780572,50.0180154212005,99.5460113857462,33.2204366938099,95.7195359227499,67.8172515673416,0.547668804496649,92.6785328240974,79.5921308640196,98.551560135476
1059,"small",97.4145891043398,100,91.9667590027701,31.4866112650046,50.3231763619575,94.921514312096,40.1662049861496,0,97.6915974145891,98.522622345337,100,98.7996306555863,98.7996306555863,81.4404432132964,0,98.7072945521699,93.9058171745152,100
