"LGA","NAME","score_single_hard_base","score_single_hard_int","score_single_hard_diff","score_single_soft_base","score_single_soft_int","score_single_soft_diff","score_wt_hard_base","score_wt_hard_int","score_wt_hard_diff","score_wt_soft_base","score_wt_soft_int","score_wt_soft_diff","score_wt_mult_hard_base","score_wt_mult_hard_int","score_wt_mult_hard_diff","score_wt_mult_soft_base","score_wt_mult_soft_int","score_wt_mult_soft_diff"
"Moonee Valley","MOONEE VALLEY",7.19574008284082,10.8766392167777,3.6808991339369,6.9520138782576,9.88402627397786,2.93201239572026,12.506786070955,19.5156759057645,7.00888983480951,12.1501701888148,17.7427332133224,5.5925630245076,13.1443656783615,20.3642212799398,7.21985560157823,12.8760236406655,18.7799175482163,5.90389390755088
"Mornington Peninsula","MORNINGTON PENINSULA",3.1278282425697,5.3417629488179,2.21393470624819,3.16020370389584,5.19630339790687,2.03609969401103,5.21253317682921,9.15453613756011,3.9420029607309,5.3042034966427,8.95935776689634,3.65515427025364,5.50942966512206,9.52145653944867,4.01202687432661,5.6442629292505,9.3808306566575,3.73656772740701
"Nillumbik","NILLUMBIK",3.96962864111178,5.31397542680963,1.34434678569785,4.00726010588549,5.27472586070591,1.26746575482042,6.3035295200405,8.77810501127422,2.47457549123372,6.46549477292062,8.79578236893506,2.33028759601443,6.67194330679674,9.17284064240026,2.50089733560352,6.86075821893869,9.2272775350684,2.36651931612971
"Port Phillip","PORT PHILLIP",10.1724128624826,13.0588068603506,2.88639399786795,9.52183991260219,11.7034746135719,2.18163470096972,19.0137503879526,24.1122296139366,5.09847922598405,17.7682447374297,21.565320450471,3.79707571304131,21.0292415021523,26.2680313600605,5.23878985790816,19.9190638912607,23.8857677681187,3.96670387685808
"Stonnington","STONNINGTON",8.64596244057798,12.4440138690598,3.79805142848178,8.17939190705385,11.1365029292429,2.95711102218906,15.5826887776714,22.8486013272878,7.2659125496164,14.7581449607765,20.4370418544625,5.67889689368601,16.9342004110513,24.3722524670924,7.43805205604104,16.2991218287637,22.211168077172,5.91204624840831
"Whitehorse","WHITEHORSE",5.99311293089812,11.3333049414112,5.34019201051312,5.90538072847099,10.3048033909945,4.39942266252348,9.74449703710013,20.4423299222467,10.6978328851466,9.77116971271601,18.6061735760317,8.83500386331572,10.2698368275677,21.1233466775367,10.853509849969,10.3867989485012,19.4791078919347,9.09230894343356
"Whittlesea","WHITTLESEA",4.83938617145906,6.81244127915744,1.97305510769838,4.8136203992074,6.51123346489114,1.69761306568375,7.58073608388526,11.3560599909526,3.77532390706738,7.6534067383644,10.9402073128966,3.28680057453219,7.74166309025321,11.5895050630415,3.84784197278833,7.8446850855153,11.251662419776,3.40697733426068
"Wyndham","WYNDHAM",4.29392090002823,5.93307343135764,1.63915253132941,4.31279178643016,5.77009930497863,1.45730751854847,6.73510631366331,9.66674630236952,2.93163998870621,6.89610245474764,9.50473497354161,2.60863251879397,6.90114675412115,9.88862584974915,2.987479095628,7.10102042812915,9.7930447924795,2.69202436435036
"Yarra","YARRA",9.43964942187963,13.1696746219982,3.73002520011859,8.8224918845108,11.7726066244345,2.95011473992372,17.2604506374148,24.3403127779425,7.07986214052772,16.1144132546433,21.772035422764,5.65762216812064,19.0612214645716,26.3304180254966,7.26919656092499,18.0274802994769,23.9072967072642,5.87981640778723
"Yarra Ranges","YARRA RANGES",3.78950153116031,5.83117153805454,2.04167000689423,3.82775588829518,5.67020874190647,1.84245285361129,5.99469304644787,9.80531016017059,3.81061711372272,6.15931008155117,9.62558530118932,3.46627521963815,6.32728351317119,10.2030591140113,3.87577560084013,6.52692417655532,10.0751884364601,3.5482642599048
